Ticker,Company Name
BMLC11B.SA,BM Brascan Lajes Corp
CEOC11.SA,FII Ceo Cyrela Commercial
CNES11.SA,FII Cenesp
MRSA6BF.SA,MRS Logistica B
CPTS11B.SA,FII Capitania Securities II
CXCE11B.SA,FII CAIXA CEDAE
DRIT11B.SA,Multigestao Renda Comercial
EDFO11B.SA,Edificio Ourinvest
EDGA11.SA,FII Edificio Galeria
ENMA3B.SA,CEMAR
FAED11.SA,FII Anhanguera Educacional
FAMB11B.SA,FII Edificio Almirante Barroso
FCFL11.SA,Campus Faria Lima FII
FEXC11.SA,FII Excellence
FIIP11B.SA,RB Capital
FLRP11.SA,Floripa Shopping FII
FVBI11.SA,VBI FL 4440 FII
HCRI11.SA,FII Hospital da Crianca
HTMX11.SA,FII Hotel Maxinvest
JRDM11.SA,FII BM Jardim Sul
MAXR11.SA,Max Retail FII
NSLU11.SA,FII Nossa Senhora De Lourdes
TRNT11.SA,FII Torre Norte
WPLZ11B.SA,Fundo Inves
ARNC34.SA,Arconic BDR
ABBV34.SA,AbbVie DRC
BBYY34.SA,Best Buy
BCRI11.SA,Banestes Recebiveis FII
BIIB34.SA,Biogen DRC
BLAK34.SA,BlackRock DRC
CHKE34.SA,Chesapeake Energy
COWC34.SA,Costco Wholesale DRC
CTSH34.SA,Cognizant Tech DRC
CVSH34.SA,CVS Health DRC
CXRI11.SA,FII Caixa Rio Bravo
DEAI34.SA,Delta Air Lines
FSLR34.SA,First Solar Inc
GILD34.SA,Gilead Sciences DRC
GOGL34.SA,Alphabet A BDR
GOGL35.SA,Alphabet C BDR
GPSI34.SA,Gap
JCPC34.SA,J C Penney
MACY34.SA,Macy’s
MDTC34.SA,Medtronic DRC
RIGG34.SA,Transocean
ROST34.SA,Ross Stores DRC
SANC34.SA,Sanchez Energy
SCHW34.SA,Charles Schwab
SPRN34.SA,Sprint DRC
SSFO34.SA,Salesforce.com DRC
TMOS34.SA,Thermo Fisher Scientific
TRVC34.SA,Travelers Companies DRC
USSX34.SA,United States Steel
VLOE34.SA,Valero Energy DRC
WSON33.SA,Wilson Sons
AALR3.SA,Centro de Imagem Diagnosticos
AFLT3.SA,Afluente Transmissao de Energia
BGIP3.SA,Banco do Estado de Sergipe
BNFS11.SA,FII Banrisul Novas Fronteiras
CBOP11.SA,FII Castello Branco Office
CEBR3.SA,CEB
CEDO3.SA,Cedro Cachoeira
ESUD11.SA,FIP Infra-Estr BB Votorantim Ener Sustentavel II A
ESUT11.SA,FIP Infra-Estr BB Votorantim Ener Sustentavel III
FIIB11.SA,FII Industrial do Brasil
FIVN11.SA,FII Vida Nova
FMOF11.SA,FII Memorial Office
FNOR11.SA,FINOR
FSPE11.SA,FI Setoriais Fiset Pesca
FSTU11.SA,Fuente Internacional de Servicios para Turistas
GPAR3.SA,Celgpar
GRLV11.SA,CSHG GR Louveira FII
MAPT3.SA,Cemepe Investimentos
MMXM11.SA,MMX Mineracao e Metalicos
PABY11.SA,FII Panamby
PATI4.SA,Panatlantica
PLRI11.SA,Polo FII Recebiveis Imobiliarios I
PORD11.SA,Polo FII Recebiveis Imobiliarios II
RBDS11.SA,FII RB Capital Desenvolvimento Residencial II
RPAD3.SA,Alfa Holdings
SCPF11.SA,SCP FII
VSPT3.SA,Ferrovia Centro Atlantica
XPOM11.SA,FIP XP Omega I
POMO10.SA,Marcopolo
AIGB34.SA,AIG BDR
DUKB34.SA,Duke Energy
MOVI3.SA,Movida Participacoes
PARD3.SA,Instituto Hermes Pardini
BPAC11.SA,Banco BTG
PPLA11.SA,BTG Pactual Unit
AALL34.SA,American Airlines DRC
GMCO34.SA,General Motors
LBRN34.SA,L Brands DRC
TWTR34.SA,Twitter
UPAC34.SA,Union Pacific
RNEW3.SA,Renova Energia
RNEW4.SA,Renova Energia Pref
AZUL4.SA,Azul SA Pref
KNIP11.SA,Kinea Private Equity
TEND3.SA,Tenda
TSLA34.SA,Tesla Motors DRC
CRFB3.SA,Atacadao
GBIO33.SA,Biotoscana Invest
OMGE3.SA,Omega Geracao
IRBR3.SA,IRB Brasil Resseguros
GGRC11.SA,GGR Covepi Renda FII
GEPA3.SA,Rio Paranapanema Energia
SAPR3.SA,SANEPAR ON N2
CAML3.SA,Camil Alimentos
VISC11.SA,Vinci Shopping Centers FII
SUZB3.SA,Suzano Papel Celulose
SAPR11.SA,Parana Sanepar Unit
BRDT3.SA,Petrobras Distribuidora
NEOE3.SA,NEOENERGIA
BKBR3.SA,BK BRASIL OPERACAO
FMXB34.SA,Fomento Economico Mexicano DRC
CLGN34.SA,Celgene DRC
HONB34.SA,Honeywell DRC
ALZR11.SA,Alianza Trust Renda Imobiliaria
GFSA1.SA,Gafisa
DDNB34.SA,DuPont Nemours
UBSG34.SA,UBS BDR
TXRX4.SA,Textil Renauxview Pref
OUJP11.SA,Ourinvest JPP FII
BCIA11.SA,Bradesco Carteira Ativa FII
BOXP34.SA,Boston Properties DRC
