Ticker,Company Name
CRIV3,Financeira Alfa ORD
CRPG5,Cristal Pigmentos do Brasil Pref A
CRPG6,Cristal Pigmentos do Brasil Pref B
CSRN3,Cosern
CTKA4,Karsten Pref
CTNM3,COTEMINAS
CTSA3,Santanense
CTSA4,Santanense Pref
CVCB3T,CVC Viagens
DOHL4,Dohler Pref
DTCY3,Dtcom
EALT4,Electro Aco Altona Pref
EKTR4,Elektro Pref
ELEK3,Elekeiroz
EMAE4,EMAE Pref
ENGI3,Energisa ORD
ENMT3,Energisa MT
ESTR4,Brinquedos Estrela
FESA3,Ferbasa
FNAM11,Fundo de Investimento da Amazonia
FSRF11,Fdo Inv Setorial FL E Ref Fiset FL Ref
GPCP3,GPC Participacoes
HAGA4,Haga Pref
HBTS5,Habitasul Pref
HETA4,Hercules Pref
HOOT4,Hoteis Othon
IDVL3,BI&P
JBDU3,Industrias JBDuarte
JBDU4,Industrias JBDuarte Pref
JOPA3,Josapar Joaquim Oliveira
JOPA4,Josapar Joaquim Oliveira Pref
KLBN3,KLABIN S/A ON N2
MEND5,Mendes Junior Engenharia
MNDL3,Mundial
MNPR3,Minupar Participacoes
MTSA4,METISA Pref
MWET4,Wetzel Pref
DMMO3T,Ogx Petroleo e Gas
PEAB4,Alianca da Bahia Pref
PNVL3,Dimed
PNVL4,Dimed Pref
RANI3,Celulose Irani
RANI4,Celulose Irani Pref
RCSL3,Recrusul
RCSL4,Recrusul Pref
REDE3,Rede Energia
RPAD5,Alfa Holdings Pref A
RPAD6,Alfa Holdings Pref B
SEER3T,Ser Educacional
WLMM3,WLM Industria e Comercio
WLMM4,WLM Industria e Comercio
SLED3,Saraiva
SMLS3T,Smiles Fidelidade
SOND5,Sondotecnica Pref A
SOND6,Sondotecnica Pref B
SPRI3,Springer
TCNO4,Tecnosolo Pref
TELB3,Telebras
TOYB4,Tec Toy Pref
TRPL3,CTEEP
UNIP5,Unipar Carbocloro Pref
USIM6,USIMINAS PNB
VULC3,Vulcabras Azaleia
VVAR3,Via Varejo
WHRL4,Whirlpool Pref
ALMI11,FII Torre Almirante
ANCR11B,FII Ancar IC
ATSA11B,FII Atrium Shopping Santo Andre
BBFI11B,Progressivo
BCFF11,BB Renda Corporativa
BMLC11B,BM Brascan Lajes Corp
CEOC11,FII Ceo Cyrela Commercial
CNES11,FII Cenesp
MRSA6BF,MRS Logistica B
CPTS11B,FII Capitania Securities II
CXCE11B,FII CAIXA CEDAE
DRIT11B,Multigestao Renda Comercial
EDFO11B,Edificio Ourinvest
EDGA11,FII Edificio Galeria
ENMA3B,CEMAR
FAED11,FII Anhanguera Educacional
FAMB11B,FII Edificio Almirante Barroso
